Japanese,English
初月に30名ウェビナー開催の場合は、20名分の追加集客枠を購入（@1万円）,"If you hold a webinar with 30 participants in the first month, purchase an additional 20 participant slots (@10,000 yen each)"
集客人数が定員未達だった場合、未達分の集客枠は翌月以降に持ち越し,"If the number of participants does not meet the quota, the remaining slots can be carried over to the following months"
@1万円で追加集客枠の購入が可能,"Additional participant slots can be purchased for @10,000 yen"
直近過去3回の貴社主催セミナーへの（課金対象の）お申込が1回以上あった方が、当該セミナーに再度お申し込みされた場合は、当該セミナーについては課金対象外( ファン育成),"If someone who has registered for your company's past three seminars (for which fees apply) registers again for the current seminar, that seminar will not be subject to charges (fan development)"
その他、一般公開した講演資料DL者のリード提供、ブランディングダッシュボードの提供、トレンド分析ツールの提供、などの特典あり,"Additionally, benefits include providing leads from those who download publicly available presentation materials, offering a branding dashboard, and providing a trend analysis tool"
区分,Category
マジセミ倶楽部ライト（30名）,Majisemi Club Light (30 participants)
ウェビナーの企画・集客・運営,"Planning, attracting participants, and managing webinars"
月会費,Monthly fee
マジセミ倶楽部　ライトプラン,Majisemi Club Light Plan
30名集客を、,"Attracting 30 participants,"
月会費で10名、追加集客で20名集客した場合,If 10 participants are attracted through the monthly fee and 20 through additional slots
追加集客枠,Additional participant slots
"3２,000","32,000"
「セミナー後の商談化に課題がある」「自社WebサイトのコンテンツやSEOを強化したい」方は、後述のお得なセットプランをご利用ください。,"If you have challenges in converting seminars into business discussions or want to strengthen your website content and SEO, please consider our value set plans mentioned later."
■セミナーで紹介したい対象商品について,■ About the products you want to introduce in the seminar
　・どの商品・サービスか？,・Which products or services?
　・想定ターゲット（セミナーに呼びたいひと）は？,・Who is the target audience (people you want to invite to the seminar)?
　　・業種、企業規模、部署、役職など,"・Industry, company size, department, position, etc."
　　　※マジセミの得意分野は「全業種の情シス、DX部門、セキュリティ部門と、工場の生産・製造部門」,"※ Majisemi's areas of expertise are ""IT departments, DX departments, security departments across all industries, and production/manufacturing departments in factories"""
　・競合製品は？,・What are the competing products?
　・競合製品に対する強み、差別化ポイントは？,・What are the strengths and differentiation points against competing products?
開催,Held
1月,January
2月,February
3月,March
4月,April
5月,May
6月,June
7月,July
8月,August
9月,September
10月,October
11月,November
月初　,Beginning of the month
月会費請求,Monthly fee billing
目標定員,Target capacity
50名,50 participants
集客実績,Participant results
25名,25 participants
48名,48 participants
集客枠消費,consumption of recruitment slots
月末,end of the month
請求,billing
20万円,"200,000 yen"
33万円,"330,000 yen"
ご請求パターン,billing pattern
毎月集客枠を10名追加,add 10 recruitment slots every month
初月から30名のセミナーでもOK,seminars with 30 participants from the first month are also OK
目標定員は30名以上,target capacity is 30 or more participants
未達だった分は翌月に繰越,carry over any shortfall to the next month
セミナーはいつ開催しても（しなくても）OK,seminars can be held anytime (or not at all)
（目標定員は30名以上、再放送は10名以上）,"(target capacity is 30 or more participants, 10 or more for re-broadcasts)"
50名、100名などの開催もOK,"holding with 50, 100 participants, etc. is also OK"
不足分は@1万円でご請求,"any shortfall will be billed at 10,000 yen per participant"
目標定員以上集客することは無い,there will be no recruitment beyond the target capacity
マジセミ倶楽部でのウェビナー開催と請求の例,Example of holding a webinar and billing with Majisemi Club
※集客人数を正確に把握するため、弊社にてお申込みページを準備し、リストを貴社にご提供致します。,"*To accurately track the number of participants, we will prepare the application page and provide the list to your company."
※定員に達した場合、申込受付をストップ致します。,"*If the capacity is reached, we will stop accepting applications."
※契約は自動的に３か月更新され、その後も同様になります。,"*The contract is automatically renewed every 3 months, and will continue in the same manner thereafter."
※退会の際は、退会月の前月の月末までメールにてご連絡ください。,"*For withdrawal, please notify us by email by the end of the month prior to the withdrawal month."
※商談保証付きに関してはお受けできない場合がございます。,*We may not be able to accept requests with a guarantee of business negotiations.
3ヵ月毎に自動更新のプランです。30名の集客と3件の商談（アポ）を保証します。,This is a plan that automatically renews every 3 months. We guarantee 30 participants and 3 business negotiations (appointments).
セミナー内容の企画、集客、当日の運営、当日参加者への資料送付までを弊社にて行います。,"We handle the planning of seminar content, recruitment, day-of operations, and sending materials to participants on the day."
マジフォロは料金に含まれています。,Majifolo is included in the fee.
初回セミナーで30人・3件に満たない場合、その四半期、又は翌四半期以降に繰り越すか、,"If the initial seminar does not meet 30 participants and 3 cases, it will be carried over to that quarter or the next quarter,"
　　 追加でセミナー開催致します。（基本は初回達成を目指します）,We will hold additional seminars. (The basic goal is to achieve it in the first instance)
3ヵ月毎に60万円(税別),"600,000 yen every 3 months (excluding tax)"
3ヵ月毎の契約で自動更新,Contract automatically renews every 3 months
3ヵ月毎に30人の集客と3件の商談を保証,Guarantee of 30 participants and 3 business negotiations every 3 months
マジフォロを無料で付与,Majifolo is provided for free
未達の場合は未達分を次回以降のセミナーに繰り越し,"In case of shortfall, the shortfall will be carried over to future seminars"
"31人以上追加開催の場合は1人申込13,500円","For additional events with more than 31 participants, 13,500 yen per participant"
マジセミ倶楽部開催（30名）,Majisemi Club event (30 participants)
マジフォロ（30名）,Majifolo (30 participants)
参加者への電話・メールでのアポ取り,Appointment setting via phone and email for participants
マジセミ倶楽部商談保証では全件無料,All cases are free under the Majisemi Club business negotiation guarantee
マジセミ倶楽部　商談保証プラン,Majisemi Club Business Negotiation Guarantee Plan
30名での参考プラン,Reference plan for 30 participants
集客・商談を保証!,Guarantee of recruitment and business negotiations!
ライト,Light
シルバー,Silver
ゴールド,Gold
プラチナ,Platinum
プレミアム,Premium
付属サ|ビス,Included Services
マジフォロ,Majifolo
マジフォロプラス,Majifolo Plus
サマリ動画,Summary Video
　 ●※1, ●※1
追加集客枠プレゼント,Additional Audience Slot Gift
（特典）※４,(Special Offer)※4
毎年10人分,Every year for 10 people
10万円相当,"Equivalent to 100,000 yen"
毎年20人分,Every year for 20 people
20万円相当,"Equivalent to 200,000 yen"
毎年40人分,Every year for 40 people
40万円相当,"Equivalent to 400,000 yen"
毎年80人分,Every year for 80 people
80万円相当,"Equivalent to 800,000 yen"
13.5万円,"135,000 yen"
15.5万円,"155,000 yen"
25.5万円,"255,000 yen"
38.5万円,"385,000 yen"
※１　SEO記事作成、サマリ動画作成は、年4回まで実施可能です。また、別途オプションとして購入いただくことでそれ以上も実施可能です。,※1 SEO article creation and summary video creation can be conducted up to 4 times a year. Additional options can be purchased for more.
※２　マジフォロは年120人分まで実施可能です。また、別途オプションとして購入いただくことでそれ以上も実施可能です。,※2 Majifolo can be conducted for up to 120 people a year. Additional options can be purchased for more.
※３　マジフォロプラスの毎月の活動費用を含んでいます。アポ獲得時の成果報酬（1アポ3万円）が別途かかります。,"※3 Includes monthly activity costs for Majifolo Plus. A success fee of 30,000 yen per appointment is charged separately."
※４　追加集客枠プレゼント特典は、マジセミ倶楽部にご加入いただいてから1年後に付与され、以降毎年同月に付与されます。,※4 The additional audience slot gift is granted one year after joining Majisemi Club and every year in the same month thereafter.
(金額は全て税別です),(All amounts are tax-exclusive)
マジセミ倶楽部のお得なプラン（改定予定）,Majisemi Club's Value Plans (Planned Revision)
シンプルにウェビナー,Simply a Webinar
開催だけ依頼したい,Only want to request hosting
講演内容を,Want to utilize presentation content
Webサイトにも活用したい,on the website as well
ウェビナー開催直後に,Want to follow up immediately
フォローしたい,after the webinar
ウェビナーから確実に,Want to reliably connect
商談につなげたい,webinars to business negotiations
ウェビナーの効果を,Want to maximize
最大化したい,the effectiveness of webinars
その他のオプション　※詳細は個別にご相談ください,Other options *Please consult us for details
名称,Name
料金（税別）,Price (excluding tax)
（セミナー後のフォロー代行）,(Post-seminar follow-up)
"@3,500円×集客人数","@3,500 yen × number of attendees"
マジセミのフォロー専門スタッフが、セミナー終了直後に参加者、欠席者に対して、メール、電話でフォローします。,Majisemi's follow-up specialists will contact participants and absentees via email and phone immediately after the seminar ends.
5万円,"50,000 yen"
"セミナーの講演内容から、SEOを意識した3,000字程度の記事を作成します。貴社のWebサイトに掲載することで、コンテンツマーケティングを促進します。","We will create an article of approximately 3,000 words with SEO in mind based on the seminar content. By publishing it on your website, you can promote content marketing."
フル動画提供/有料,Full video provision/paid
セミナー動画をご提供させていただき、２次利用していただくためのオプションです。,This is an option to provide seminar videos for secondary use.
※一定の利用制限内であれば無料でご提供いたします。トライアル時は、有料、無料ともご提供はありません。,"*We offer it for free within certain usage limits. During the trial, neither paid nor free provision is available."
サマリ動画作成,Summary video creation
セミナー動画をYoutube等に掲載する場合、長時間の動画は嫌われる傾向があります。このため5～10分程度に編集してご提供いたします。,"When posting seminar videos on YouTube, etc., long videos tend to be disliked. Therefore, we will edit and provide a 5-10 minute version."
セミナー申込者の内、当日欠席された方に対して、当日の動画を視聴していただきます。,"For those who registered but were absent on the day, we will allow them to view the day's video."
"@14,500円/10,000円","@14,500 yen/10,000 yen"
過去マジセミで開催した録画を使って、手間なく追加のウェビナーを開催します。,Hold additional webinars effortlessly using recordings from past Majisemi events.
２ステップウェビナー,Two-step webinar
２０万円,"200,000 yen"
過去に貴社のウェビナーにお申し込みいただいた方（貴社の見込み客）に対して、より商談（アポ）につながるテーマ（他社比較、製品紹介、デモなど）を企画し、開催します。,"We will plan and hold a theme that leads to more business negotiations (appointments) for those who have previously registered for your webinars (your prospects), such as competitor comparisons, product introductions, demos, etc."
運営支援（運営代行）,Operational support (operation outsourcing)
貴社セミナーの運営を代行します。申込みページの作成、申込者の管理、Zoomの貸出、当日の司会進行、など一連の作業を代行します。（集客は含まれません。貴社にて集客していただきます。）,"We will manage your seminar operations. We handle tasks such as creating the registration page, managing registrants, lending Zoom, and moderating on the day. (Attracting attendees is not included. You will need to handle that.)"
マジセミ代表 寺田による,Presentation by Majisemi representative Terada
貴社セミナーでのプレゼン,Presentation at your seminar
30万円～,"300,000 yen～"
※30分～1時間程度,*Approximately 30 minutes to 1 hour
マジセミ代表 寺田が、貴社セミナーでのプレゼンや対談、パネルディスカッションのファシリテーターを行います。テーマはご相談ください。,"Majisemi representative Terada will facilitate presentations, discussions, and panel discussions at your seminar. Please consult us about the theme."
“エバンジェリストAI”デジタル寺田による基調講演代行,Keynote speech by 'Evangelist AI' Digital Terada
10万円,"100,000 yen"
生成AIを活用した“エバンジェリストAI”デジタル寺田が、貴社のウェビナーで基調講演を行います。,"'Evangelist AI' Digital Terada, utilizing generative AI, will deliver a keynote speech at your webinar."
・セミナーで講演するが、講演原稿・スライドを作成する時間がない,- Want to give a seminar but lack time to create a script or slides
・プレゼンが上手な社員がいない（又は忙しい）ため、プレゼンまで含めて代行してほしい,"- No skilled presenters among employees (or they are too busy), so want to outsource the presentation as well"
1本5万円～,"50,000 yen per video～"
※10本単位、初期費用別,"*In units of 10, excluding initial costs"
Youtubeの検索や、Googleの動画検索で上位表示を狙うための施策です。マジセミが貴社専用のAIアバターを作成、用語解説の動画コンテンツを作成します。原稿も納品、ブログ活用も可能です。,"This is a strategy to aim for top rankings in YouTube and Google video searches. Majisemi will create a custom AI avatar for your company and produce video content explaining terms. Scripts can also be delivered, and blog utilization is possible."
製品比較動画作成,Product comparison video creation
50万円～,"500,000 yen～"
※初期費用別,*Excluding initial costs
貴社の製品の強みを強力に認知させるための競合製品比較動画を作成します。マジセミが貴社専用のAIアバターを作成、製品比較動画コンテンツを作成します。ウェビナーでの配信も可能です。,We will create a competitive product comparison video to strongly recognize the strengths of your product. Majisemi will create a custom AI avatar for your company and produce product comparison video content. It can also be distributed in webinars.
注意事項,Notes
 割増料金,Additional charges
 キャンセル料金,Cancellation fee
全てのサービスにおいて、マジカン（マジセミ管理画面）から「本申込」をしていただいた後、又は発注書・申込書を受領した後にキャンセルされた場合、100%のキャンセル料金が発生します。,"For all services, if you cancel after making a ""formal application"" through Majikan (Majisemi management screen) or after we receive the order form/application form, a 100% cancellation fee will be charged."
但し、ウェビナー開催については、ビジターは20名分のキャンセル料金、マジセミ倶楽部においては30名分の集客枠の消費を上限とします。,"However, for webinar events, the cancellation fee is capped at the equivalent of 20 visitors for general visitors and 30 slots for Majisemi Club members."
マジフォロについては、ビジターの場合は20名分、マジセミ倶楽部の場合は30名分のキャンセル料金を上限とします。,"For Majifolo, the cancellation fee is capped at the equivalent of 20 visitors for general visitors and 30 slots for Majisemi Club members."
ウェビナー開催において、タイトル、告知文などの調整が遅れて、ウェビナーの公開が開催日の１０営業日前の17時までに行えなかった場合、キャンセルの扱いとし上記キャンセル料金をご請求いたします。,"If adjustments to the title, announcement text, etc., are delayed and the webinar cannot be published by 5 PM, 10 business days before the event date, it will be considered a cancellation and the above cancellation fee will be charged."
マジセミ倶楽部の退会時、集客枠残について返金できません。,"Upon withdrawal from Majisemi Club, no refunds will be given for remaining slots."
マジセミ倶楽部の主旨を鑑み、マジセミ倶楽部の契約開始から１年以内の解約の場合、ペナルティを設定させていただいております。ご了承ください。（ビジターの料金との差額をご請求いたします）,"Considering the purpose of Majisemi Club, if you cancel within one year of starting the contract, a penalty will be applied. Please understand. (The difference from the visitor fee will be charged.)"
開催4週間前を過ぎての発注は、料金が割り増しになります。,Orders placed less than 4 weeks before the event will incur a surcharge.
単価（税別）,Unit price (excluding tax)
上限指定,Upper limit specification
基本料金,Basic fee
（開催4週間前以前の発注）,(Orders placed more than 4 weeks before the event)
20名以上,20 or more
開催4週間前を過ぎての発注,Orders placed less than 4 weeks before the event
×1.25倍 割増,×1.25 times surcharge
開催3週間前を過ぎての発注,Orders placed less than 3 weeks before the event
×2倍 割増,×2 times surcharge
開催4週間前の本申込みが間に合わない場合、割増料金の設定はございませんが、ご相談の上開催を延期させていただきます。,"If the formal application cannot be made 4 weeks before the event, there is no surcharge, but the event will be postponed upon consultation."
マジセミ倶楽部各種,Various Majisemi Club
■基本的には6週間前から打ち合わせし、開催4週間前に本申込みいただくスケジュール感となります。,"■ Generally, meetings start 6 weeks in advance, and the formal application is made 4 weeks before the event."
マジセミ株式会社,"Majisemi Co., Ltd."
会社概要,Company overview
会社名,Company name
本社所在地,Headquarters location
代表者名,Representative name
事業内容,Business description
セミナー開催実績,Seminar hosting achievements
設立,Established
資本金,Capital
従業員数,Number of employees
"〒105-0022　東京都港区海岸1丁目2-20汐留ビルディング３階
寺田　雄一","3rd Floor, Shiodome Building, 1-2-20 Kaigan, Minato-ku, Tokyo 105-0022
Yuichi Terada"
IT・製造業専門セミナーマーケティングサービス「マジセミ」の運営,"Operation of the IT and manufacturing industry specialized seminar marketing service ""Majisemi"""
"昨年実績　約1,0００回開催、延べ動員数 約6０,000人（2023年）","Last year's achievements: Approximately 1,000 events held, total attendance of about 60,000 people (2023)"
2018年1月,January 2018
"1,000万円",10 million yen
４5名,45 employees
"デジタル関連のプロダクトやサービスとの新たな出会いと体験の場を創造することで
国内産業の発展と、エンジニアの活躍促進を実現する                 。",Creating opportunities for new encounters and experiences with digital-related products and services to promote the development of domestic industries and the advancement of engineers.
そのために、提供企業の規模の大小に関係なく、優れた技術やその可能性を広く社会に伝える,"To achieve this, we convey the excellence and potential of technology widely to society, regardless of the size of the providing company."
エンドユーザーに対して、技術そのものではなく、その技術でどのような課題が解決できるのかを、わかりやすく伝える,"We clearly communicate to end users not the technology itself, but how it can solve their problems."
"2025年には、年間2,000回のウェビナーを開催する","By 2025, we aim to host 2,000 webinars annually."
セミナーをエンタメに変える,セミナーをエンタメに変える
セミナーで社会を変える,セミナーで社会を変える
日本マーケティングリサーチ機構調べ調査概要:2021年サービスの比較印象調査,日本マーケティングリサーチ機構調べ調査概要:2021年サービスの比較印象調査
集客に強いセミナーNo.1,集客に強いセミナーNo.1
新規の商談獲得に,新規の商談獲得に
強いセミナー,強いセミナー
IT責任者が,IT責任者が
選ぶセミナー,選ぶセミナー
おかげ様で３つのNo.１,おかげ様で３つのNo.１
獲得しました！1,獲得しました！1
取引実績,取引実績
A10ネットワークス株式会社,A10ネットワークス株式会社
アイテック阪急阪神株式会社,アイテック阪急阪神株式会社
アドバンテック株式会社,アドバンテック株式会社
株式会社アクシオ,株式会社アクシオ
株式会社アシスト,株式会社アシスト
伊藤忠テクノソリューションズ株式会社,伊藤忠テクノソリューションズ株式会社
株式会社インターネットイニシアティブ,株式会社インターネットイニシアティブ
インフォコム株式会社,インフォコム株式会社
エクイニクス・ジャパン株式会社,エクイニクス・ジャパン株式会社
SCSK株式会社,SCSK株式会社
エフセキュア株式会社,エフセキュア株式会社
エムオーテックス株式会社,エムオーテックス株式会社
エンカレッジ・テクノロジ株式会社,エンカレッジ・テクノロジ株式会社
エントラストジャパン株式会社,エントラストジャパン株式会社
株式会社オージス総研,株式会社オージス総研
株式会社オプロ,株式会社オプロ
クリックテック・ジャパン株式会社,クリックテック・ジャパン株式会社
クロス・ヘッド株式会社,クロス・ヘッド株式会社
KCCSモバイルエンジニアリング株式会社,KCCSモバイルエンジニアリング株式会社
株式会社サーバーワークス,株式会社サーバーワークス
サイオステクノロジー株式会社,サイオステクノロジー株式会社
サイバートラスト株式会社,サイバートラスト株式会社
株式会社ジール,株式会社ジール
CTCシステムマネジメント株式会社,CTCシステムマネジメント株式会社
株式会社システナ,株式会社システナ
シンガポールテレコム・ジャパン株式会社,シンガポールテレコム・ジャパン株式会社
GMOグローバルサイン株式会社,GMOグローバルサイン株式会社
JBサービス株式会社,JBサービス株式会社
スターティアレイズ株式会社,スターティアレイズ株式会社
株式会社スマートスタイル,"Smart Style Co., Ltd."
住友電工情報システム株式会社,"Sumitomo Electric Information Systems Co., Ltd."
ゾーホージャパン株式会社,Zoho Japan Corporation
株式会社ソリトンシステムズ,Soliton Systems K.K.
ダイナトレース,Dynatrace
TIS株式会社,TIS Inc.
テクバン株式会社,"Techvan Co., Ltd."
テクマトリックス株式会社,TechMatrix Corporation
株式会社デリバリーコンサルティング,Delivery Consulting Inc.
デル EMC,Dell EMC
日本システムウエア株式会社,NSW Inc.
株式会社ヒューリンクス,Hulinks Inc.
Netskope Japan株式会社,"Netskope Japan Co., Ltd."
株式会社パソナテック,"Pasona Tech, Inc."
東日本電信電話株式会社,Nippon Telegraph and Telephone East Corporation
富士通株式会社,Fujitsu Limited
富士通コミュニケーションサービス株式会社,Fujitsu Communication Services Limited
富士電機ITソリューション株式会社,"Fuji Electric IT Solutions Co., Ltd."
三菱電機ｲﾝﾌｫﾒｰｼｮﾝｼｽﾃﾑｽﾞ株式会社,Mitsubishi Electric Information Systems Corporation
ミランティス・ジャパン株式会社,Mirantis Japan G.K.
株式会社モンスター・ラボ,"Monstar Lab, Inc."
株式会社レッドチーム・テクノロジーズ,Red Team Technologies Inc.
株式会社ロゼッタ,Rosetta Corporation
（代理店）,(Agency)
株式会社エムエム総研,MM Research Institute Ltd.
株式会社クリエイティブバンク,Creative Bank Inc.
ターゲットメディア株式会社,"Target Media Co., Ltd."
株式会社日本経済広告社,Nikkei Advertising Inc.
株式会社ビックビート,Bigbeat Inc.
株式会社マイナビ,Mynavi Corporation
主要顧客のみ、五十音順,"Major clients only, in alphabetical order"
取引先と,With clients
セミナー開催数が,Number of seminars held
毎年増加中！,Increasing every year!
新規の商談獲得に強いセミナーNo.1,No.1 seminar for acquiring new business negotiations
IT責任者が選ぶセミナーNo.1,No.1 seminar chosen by IT managers
■セミナー（ウェビナー）の必要性について,■ On the necessity of seminars (webinars)
　・リード獲得の手段として重要視するものは？,・What is prioritized as a means of lead acquisition?
　　・セミナー（ウェビナー）,・Seminars (webinars)
　　・Webサイト（コンテンツマーケティング）,・Websites (content marketing)
　　・リアル展示会,　　・リアル展示会
　　・比較サイト,　　・比較サイト
　　・GoogleやFacebookなどへの広告,　　・GoogleやFacebookなどへの広告
　　・テレアポ,　　・テレアポ
　　・その他,　　・その他
■予算の状況,■予算の状況
　・リード獲得単価、アポ獲得単価,　・リード獲得単価、アポ獲得単価
　・セミナー（ウェビナー）の予算の有無、及び金額,　・セミナー（ウェビナー）の予算の有無、及び金額
　・上記リード獲得手段の予算の割合,　・上記リード獲得手段の予算の割合
　・予算の策定、決定時期,　・予算の策定、決定時期
■セミナー（ウェビナー）の目的／課題,■セミナー（ウェビナー）の目的／課題
　・より多くのリードを獲得したい／集客できない,　・より多くのリードを獲得したい／集客できない
　・ターゲットに合ったリードを獲得したい／リードの質が悪い,　・ターゲットに合ったリードを獲得したい／リードの質が悪い
　・ウェビナーから商談につなげたい／商談につながらない,　・ウェビナーから商談につなげたい／商談につながらない
　・ウェビナーの運営を代行してほしい／運営が大変,　・ウェビナーの運営を代行してほしい／運営が大変
　・まずはスモールスタートでウェビナーをやってみたい,　・まずはスモールスタートでウェビナーをやってみたい
　・その他,　・その他
　・ウェビナーを活用した、東南アジアにおける新規顧客開拓やテストマーケティング,　・ウェビナーを活用した、東南アジアにおける新規顧客開拓やテストマーケティング
なぜ「ウェビナー」なのか？,なぜ「ウェビナー」なのか？
BtoBマーケティングにおけるウェビナーの役割,BtoBマーケティングにおけるウェビナーの役割
製品・サービスを絞って,製品・サービスを絞って
評価・選定、稟議,評価・選定、稟議
製品・サービスの,製品・サービスの
候補を捜す,候補を捜す
課題に気づき,課題に気づき
社内で検討,社内で検討
課題に,課題に
気づいてない,気づいてない
課題に気づかせる,課題に気づかせる
課題について深く理解させ、,課題について深く理解させ、
解決方法を提示する,解決方法を提示する
競合よりもお客様に早く接触し、課題解決をサポートする,競合よりもお客様に早く接触し、課題解決をサポートする
数社～十数者程度の検討の候補に入り、２～３社の最終候補に残る,数社～十数者程度の検討の候補に入り、２～３社の最終候補に残る
２～３社の最終候補から自社を選んでもらう,２～３社の最終候補から自社を選んでもらう
リアル展示会,リアル展示会
オンラインイベント,オンラインイベント
課題に気づかせる。,課題に気づかせる。
課題について深く理解させる。,課題について深く理解させる。
競合よりもお客様に先に接触し、自社を知ってもらう。,競合よりもお客様に先に接触し、自社を知ってもらう。
Webサイト,Webサイト
コンテンツマーケティング,Content marketing
SNS広告,Social media advertising
資料ダウンロード,Document download
課題を深く理解させる。,Deepen understanding of issues.
また競合比較情報や、自社製品の情報を提供する。,Also provide competitive comparison information and information about our products.
既存リードのナーチャリング（育成）目的。,For nurturing existing leads.
フィールドセールス,Field sales
ウェビナーコンテンツの活用,Utilization of webinar content
ウェビナーを開催すると、,"When holding a webinar,"
多くのコンテンツが生成される,a lot of content is generated
●講演資料　→ホワイトペーパー,● Presentation materials → White paper
●講演動画　→Youtube、SNS,"● Presentation video → YouTube, social media"
●講演内容　→SEO記事、ブログ,"● Presentation content → SEO articles, blogs"
提案・受注,Proposal and order
リード育成,Lead nurturing
リード獲得におけるウェビナーの位置付け,Positioning of webinars in lead acquisition
リード獲得単価,Cost per lead
興味関心,Interest
低い,Low
高い,High
"30,000円","¥30,000"
"10,000円","¥10,000"
"5,000円","¥5,000"
オンライン,Online
　展示会,Exhibition
(大規模ウェビナー),(Large-scale webinar)
比較サイト,Comparison site
メール広告,Email advertising
リスティング／SNS広告,Listing/Social media advertising
倶楽部,Club
"10,000円～","¥10,000～"
オンデマンド,On-demand
動画配信,Video distribution
テレアポ,Telemarketing
